,JiaoZiVideoPlayer,BaseRecyclerViewAdapterHelper,fresco,MaterialViewPager,mdanalysis,banner,AppIntro,canal,RxPermissions,jmxtrans,weka-3.8,vlayout,mobile-icon-resizer,motogp,Matisse,axios,Luban,bootstrap,logger,lottie-react-native,javascript,website,graphql-engine,flamingo,JCSprout,CircleImageView,Android-PickerView,android,postgres,entt,insolar,SlidingMenu,istio,ionic,zulip,uCrop,spark,HealthTime,Fragmentation,zipkin,Zilliqa,pip,raiden,yebash,mall,brmo,Android-PullToRefresh,thanos,tinker,epoxy,leakcanary,Android-CleanArchitecture,JDeodorant,LightTable,AndroidSwipeLayout,AndroidViewAnimations,RefactoringMiner,abinit,rasa_core,vue,disruptor,rchain,stetho,docker,FizzBuzzEnterpriseEdition,android-async-http,Aelf,SmartRefreshLayout,ViewPagerIndicator,AndroidSlidingUpPanel,websocketd,Calligraphy,core,ubiquity,flask,kbc-ui,holochain-rust,tetris_project,ZfcUser,iotivity,realm-java,HikariCP,nodejs.org,AnySoftKeyboard,iotjs,synfig,arthas,Signal-Android,Telegram,apollo,redisson,picasso,zxing,marko,kafka,android-fly-in-app-navigation,MaterialDesignLibrary,onnx,zsc,java-design-patterns,GSYVideoPlayer,FileDownloader,alfresco-android-app,Lean,rhino,Android-Universal-Image-Loader,sanitize-html,ant,ARouter,recyclerview-animators,crispy-doom,EventBus,greenDAO,symphony,dspot,react-native-navigation,android-Ultra-Pull-To-Refresh,hydrus,hadoop,FlycoTabLayout,MaterialDrawer,mongo,HomeMirror,Android-ObservableScrollView,storm,spoon,reicast-emulator,core-moos,butterknife,jquery,gson,PhotoView,mybatis-3,rasa_nlu,faster-rcnn.pytorch,javascript-algorithms,datadog-agent,BottomBar,testrepository,grin,kdcproxy,dinghy,fastjson,scikit-learn,jadx,PermissionsDispatcher,AVLoadingIndicatorView,wagtail,druid
rasa_core,0.5,0.67,0.5,0.52,0.49,0.0,0.48,0.6,0.51,0.5,0.51,0.67,0.4,0.59,0.39,0.49,0.47,0.54,0.49,0.52,0.52,0.53,0.56,0.49,0.42,0.51,0.5,0.52,0.0,0.41,0.4,0.58,0.54,0.46,0.47,0.59,0.64,0.6,0.71,0.49,0.51,0.51,0.46,0.51,1.0,0.46,0.0,0.52,0.54,0.43,0.45,0.54,0.49,0.54,0.6,0.46,0.44,0.5,,0.47,0.53,0.49,0.41,0.44,0.4,0.58,0.46,0.58,0.56,0.62,0.54,0.5,0.55,0.42,0.49,0.53,0.38,0.46,0.48,0.53,0.54,0.45,0.51,0.4,0.5,0.5,0.46,0.48,0.67,0.45,0.4,0.53,0.48,0.4,0.44,0.38,0.44,0.54,0.75,0.48,0.5,0.49,0.52,0.51,0.52,0.54,0.51,0.48,0.42,0.49,0.46,0.59,0.61,0.43,0.48,0.48,0.0,0.51,0.0,0.62,0.44,0.43,0.54,0.5,0.49,0.57,0.53,0.51,0.48,0.55,0.49,0.56,0.46,0.51,0.53,0.44,0.5,0.48,0.47,0.51,0.62,0.46,0.49,0.5,0.55,0.53,0.48,0.46,0.53
rasa_nlu,0.47,0.41,0.47,0.45,0.43,0.0,0.43,0.42,0.41,0.43,0.38,0.49,0.41,0.44,0.31,0.37,0.38,0.45,0.43,0.38,0.48,0.4,0.29,0.45,0.38,0.4,0.41,0.44,0.0,0.52,0.46,0.45,0.4,0.51,0.45,0.27,0.5,0.48,0.34,0.41,0.48,0.38,0.46,0.34,0.33,0.46,0.0,0.43,0.32,0.46,0.37,0.42,0.4,0.42,0.3,0.39,0.41,0.42,0.49,0.44,0.41,0.44,0.36,0.47,0.49,0.42,0.49,0.4,0.43,0.34,0.41,0.43,0.43,0.49,0.41,0.54,0.43,0.48,0.37,0.35,0.4,0.35,0.42,0.41,0.37,0.46,0.41,0.4,0.29,0.52,0.48,0.39,0.5,0.41,0.48,0.38,0.2,0.37,0.06,0.47,0.42,0.48,0.5,0.43,0.37,0.54,0.41,0.49,0.51,0.46,0.4,0.5,0.49,0.45,0.4,0.48,0.0,0.47,0.0,0.35,0.45,0.52,0.42,0.38,0.44,0.28,0.42,0.36,0.4,0.43,0.43,0.51,0.43,,0.41,0.44,0.45,0.43,0.41,0.42,0.2,0.44,0.41,0.45,0.35,0.45,0.49,0.43,0.48
rchain,0.5,0.68,0.52,0.51,0.52,0.0,0.48,0.52,0.61,0.52,0.53,0.68,0.32,0.58,0.42,0.49,0.5,0.55,0.48,0.53,0.56,0.53,0.57,0.41,0.45,0.53,0.62,0.55,0.0,0.51,0.38,0.61,0.48,0.38,0.48,0.58,0.5,0.52,0.79,0.43,0.54,0.54,0.46,0.54,1.0,0.45,0.0,0.52,0.56,0.47,0.46,0.51,0.6,0.56,0.59,0.45,0.47,0.56,0.53,0.42,0.58,,0.44,0.42,0.47,0.59,0.33,0.71,0.6,0.63,0.55,0.51,0.58,0.4,0.52,0.25,0.36,0.46,0.47,0.56,0.58,0.49,0.54,0.4,0.54,0.46,0.48,0.47,0.7,0.41,0.33,0.57,0.48,0.43,0.54,0.38,0.42,0.57,0.75,0.48,0.54,0.48,0.56,0.51,0.54,0.55,0.64,0.55,0.45,0.5,0.49,0.66,0.66,0.37,0.29,0.44,0.0,0.57,0.0,0.66,0.48,0.51,0.53,0.37,0.49,0.55,0.55,0.54,0.6,0.6,0.51,0.56,0.45,0.49,0.59,0.43,0.45,0.58,0.47,0.53,0.55,0.51,0.47,0.52,0.29,0.55,0.5,0.48,0.5
react-native-navigation,0.5,0.14,0.4,0.49,0.49,0.0,0.47,0.67,0.55,0.47,0.36,0.22,0.46,0.58,0.54,0.45,0.42,0.56,0.48,0.45,0.36,0.47,0.47,0.5,0.5,0.55,0.38,0.46,0.0,0.31,0.46,0.47,0.5,0.46,0.48,0.45,0.5,0.55,0.48,0.41,0.43,0.45,0.44,0.42,0.5,0.48,0.0,0.48,0.48,0.41,0.57,0.55,0.41,0.5,0.47,0.39,0.41,0.39,0.46,0.5,0.42,0.44,0.49,0.63,0.51,0.52,0.5,0.44,0.4,0.45,0.44,0.47,0.49,0.46,0.47,0.34,0.44,0.58,0.49,0.49,0.46,0.35,0.48,0.4,0.5,0.48,0.51,0.48,0.64,0.51,0.46,0.48,0.43,0.48,0.39,0.38,0.56,0.48,0.67,0.45,0.48,0.39,0.49,0.45,0.49,0.49,0.49,0.39,0.41,0.44,0.47,0.54,0.48,0.42,0.54,,0.0,0.42,0.0,0.52,0.45,0.41,0.43,0.48,0.42,0.54,0.42,0.47,0.46,0.38,0.36,0.48,0.46,0.51,0.43,0.5,0.42,0.45,0.47,0.45,0.49,0.41,0.48,0.52,0.38,0.53,0.61,0.45,0.49
realm-java,0.38,0.45,0.5,0.49,0.47,0.0,0.49,0.61,0.47,0.54,0.54,0.58,0.47,0.55,0.64,0.54,0.48,0.52,0.45,0.54,0.56,0.53,0.58,0.41,0.43,0.58,0.36,0.52,0.0,0.5,0.29,0.57,0.5,0.39,0.47,0.61,0.64,0.54,0.53,0.51,0.45,0.57,0.41,0.42,1.0,0.48,0.0,0.5,0.54,0.47,0.54,0.58,0.47,0.57,0.67,0.59,0.44,0.5,0.46,0.48,0.59,0.48,0.58,0.4,0.37,0.55,0.25,0.58,0.53,0.52,0.51,0.57,0.54,0.4,0.59,0.24,0.29,0.56,0.56,0.55,,0.48,0.58,0.4,0.45,0.46,0.48,0.5,0.66,0.41,0.41,0.62,0.49,0.44,0.45,0.64,0.39,0.53,0.75,0.48,0.52,0.41,0.48,0.49,0.53,0.53,0.5,0.51,0.46,0.45,0.41,0.67,0.62,0.39,0.29,0.45,0.0,0.48,0.0,0.41,0.36,0.49,0.58,0.52,0.49,0.59,0.54,0.5,0.57,0.55,0.51,0.52,0.48,0.46,0.63,0.49,0.48,0.41,0.47,0.52,0.66,0.51,0.48,0.51,0.32,0.52,0.38,0.49,0.5
recyclerview-animators,0.48,0.71,0.38,0.53,0.48,0.0,0.48,0.74,0.49,0.51,0.39,0.51,0.5,0.65,0.47,0.42,0.5,0.55,0.48,0.55,0.57,0.53,0.46,0.43,0.31,0.29,0.63,0.52,0.0,0.19,0.51,0.52,0.52,0.51,0.43,0.51,0.64,0.52,0.34,0.5,0.45,0.46,0.46,0.51,0.0,0.39,0.0,0.47,0.45,0.39,0.59,0.24,0.39,0.52,0.58,0.56,0.45,0.53,0.48,0.49,0.52,0.43,0.5,0.64,0.39,0.56,0.48,0.14,0.44,0.64,0.47,0.42,0.53,0.43,0.46,0.21,0.41,0.56,0.44,0.57,0.43,0.38,0.56,0.39,0.42,0.47,0.44,0.47,0.57,0.46,0.46,0.55,0.38,0.37,0.48,0.38,0.54,0.54,0.5,0.44,0.57,0.4,0.4,0.35,0.54,0.33,0.62,0.44,0.41,,0.46,0.28,0.22,0.35,0.56,0.45,0.0,0.49,0.0,0.58,0.35,0.43,0.48,0.49,0.41,0.47,0.53,0.42,0.37,0.55,0.44,0.46,0.45,0.46,0.5,0.5,0.45,0.46,0.52,0.41,0.53,0.49,0.38,0.48,0.5,0.43,0.66,0.46,0.39
redisson,0.52,0.68,0.44,0.52,0.49,0.0,0.48,0.77,0.49,0.57,0.46,0.54,0.29,0.51,0.58,0.45,0.45,0.56,0.47,0.38,0.29,0.5,0.57,0.51,0.54,0.39,0.39,0.47,0.0,0.26,0.47,0.5,0.5,0.53,0.49,0.62,0.1,0.58,0.38,0.56,0.47,0.46,0.49,0.33,0.33,0.51,0.0,0.46,0.51,0.36,0.56,0.53,0.49,0.5,0.42,0.39,0.39,0.45,0.45,0.47,0.4,0.43,0.6,0.43,0.53,0.5,0.55,0.14,0.35,0.54,0.44,0.46,0.49,0.45,0.53,0.51,0.47,0.2,0.48,0.55,0.52,0.4,0.54,0.48,0.49,0.5,0.5,0.51,0.68,0.56,,0.51,0.53,0.48,0.41,0.46,0.54,0.51,0.43,0.49,0.53,0.49,0.43,0.43,0.48,0.42,0.41,0.39,0.51,0.45,0.52,0.35,0.39,0.49,0.51,0.52,0.0,0.45,0.0,0.43,0.61,0.38,0.33,0.54,0.41,0.57,0.43,0.49,0.52,0.57,0.48,0.41,0.47,0.48,0.38,0.43,0.46,0.42,0.42,0.48,0.55,0.41,0.5,0.47,0.59,0.53,0.41,0.54,0.57
reicast-emulator,0.49,0.69,0.48,0.51,0.49,0.0,0.46,0.73,0.64,0.52,0.52,0.62,0.49,0.51,0.53,0.47,0.6,0.54,0.5,0.46,0.55,0.5,0.52,0.44,0.43,0.54,0.57,0.54,0.0,0.49,0.45,0.57,0.52,0.43,0.5,0.57,0.5,0.61,0.64,0.52,0.48,0.55,0.44,0.51,0.83,0.49,0.0,0.49,0.51,0.46,0.55,0.59,0.37,0.54,0.4,0.53,0.45,0.57,0.49,0.48,0.57,0.52,0.6,0.41,0.5,0.59,0.46,0.59,0.6,0.58,0.46,0.57,0.53,0.45,0.58,0.22,0.43,0.54,0.49,0.56,0.51,0.53,0.45,0.41,0.48,0.46,0.55,0.46,0.61,0.5,0.38,0.6,0.49,0.47,0.49,0.46,0.52,0.52,0.74,0.52,0.5,0.39,0.43,0.54,0.53,0.53,0.41,0.53,0.46,0.48,0.47,0.52,0.54,0.3,0.39,0.49,0.0,0.51,0.0,0.45,0.34,0.46,0.46,0.56,0.48,0.54,,0.48,0.6,0.54,0.49,0.5,0.46,0.52,0.56,0.53,0.48,0.53,0.5,0.48,0.55,0.55,0.43,0.52,0.41,0.46,0.42,0.52,0.46
rhino,0.41,0.64,0.54,0.43,0.51,0.0,0.47,0.47,0.53,0.49,0.46,0.5,0.53,0.4,0.5,0.59,0.45,0.49,0.5,0.49,0.59,0.5,0.55,0.5,0.4,0.58,0.59,0.45,0.0,0.61,0.27,0.47,0.47,0.38,0.48,0.44,0.64,0.14,0.54,0.48,0.36,0.55,0.39,0.42,1.0,0.42,0.0,0.49,0.53,0.54,0.45,0.6,0.53,0.49,0.65,0.55,0.51,0.53,0.4,0.46,0.61,0.4,0.54,0.21,0.5,0.51,0.24,0.81,0.59,0.6,0.52,0.53,0.57,0.32,0.56,0.31,0.29,0.61,0.54,0.52,0.52,0.5,0.53,0.46,0.52,0.47,0.45,0.45,0.55,0.31,0.38,0.6,0.51,0.45,0.5,0.57,0.4,0.57,0.75,0.48,0.43,0.43,0.39,0.46,,0.52,0.54,0.54,0.45,0.4,0.52,0.68,0.63,0.46,0.27,0.44,0.0,0.42,0.0,0.31,0.38,0.52,0.66,0.4,0.47,0.5,0.46,0.45,0.59,0.52,0.55,0.52,0.51,0.38,0.6,0.55,0.44,0.47,0.52,0.5,0.49,0.5,0.49,0.54,0.43,0.51,0.33,0.51,0.51
sanitize-html,0.42,0.68,0.51,0.52,0.48,0.0,0.48,0.42,0.51,0.49,0.42,0.61,0.35,0.57,0.43,0.49,0.37,0.5,0.49,0.5,0.6,0.53,0.56,0.3,0.43,0.56,0.7,0.5,0.0,0.54,0.34,0.55,0.49,0.37,0.46,0.5,0.64,0.52,0.7,0.45,0.43,0.52,0.38,0.46,1.0,0.4,0.0,0.49,0.46,0.45,0.39,0.48,0.36,0.53,0.66,0.41,0.47,0.55,0.47,0.45,0.55,0.47,0.38,0.62,0.44,0.56,0.26,0.81,0.59,0.66,0.52,0.49,0.55,0.37,0.49,0.19,0.33,0.5,0.48,0.53,0.53,0.48,0.52,0.38,0.53,0.39,0.45,0.42,0.64,0.38,0.3,0.56,0.48,0.43,0.53,0.38,0.6,0.57,0.74,0.49,0.49,0.37,0.41,0.47,0.47,0.5,,0.54,0.37,0.46,0.41,0.65,0.61,0.29,0.26,0.43,0.0,0.51,0.0,0.61,0.33,0.52,0.53,0.39,0.47,0.43,0.5,0.42,0.61,0.49,0.41,0.53,0.41,0.47,0.57,0.45,0.43,0.53,0.44,0.52,0.55,0.5,0.39,0.5,0.3,0.49,0.5,0.45,0.39
scikit-learn,0.35,0.64,0.5,0.45,0.48,0.0,0.45,0.43,0.52,0.53,0.48,0.54,0.49,0.38,0.54,0.53,0.45,0.46,0.46,0.51,0.56,0.52,0.57,0.37,0.41,0.57,0.47,0.44,0.0,0.58,0.26,0.55,0.47,0.35,0.45,0.5,0.5,0.32,0.56,0.48,0.38,0.53,0.38,0.42,1.0,0.41,0.0,0.49,0.56,0.43,0.42,0.56,0.51,0.52,0.7,0.5,0.5,0.53,0.46,0.47,0.57,0.4,0.52,0.38,0.43,0.53,0.24,0.85,0.58,0.56,0.51,0.52,0.53,0.33,0.55,0.23,0.29,0.59,0.52,0.52,0.52,0.49,0.52,0.39,0.53,0.43,0.46,0.44,0.62,0.38,0.31,0.58,0.48,0.45,0.47,0.44,0.38,0.56,0.74,0.48,0.47,0.41,0.39,0.46,0.54,0.5,0.61,0.51,0.46,0.43,0.47,0.58,0.62,0.33,0.26,0.45,0.0,0.4,0.0,0.42,0.34,0.5,0.61,0.37,0.46,0.5,0.47,0.47,0.62,0.49,0.5,0.52,0.5,0.4,0.56,0.52,0.44,0.47,0.47,0.49,0.51,0.49,0.44,,0.3,0.54,0.45,0.49,0.49
spoon,0.44,0.7,0.48,0.47,0.46,0.0,0.41,0.56,0.43,0.54,0.55,0.66,0.43,0.41,0.46,0.43,0.5,0.52,0.44,0.46,0.51,0.53,0.58,0.46,0.45,0.63,0.39,0.49,0.0,0.51,0.29,0.54,0.52,0.45,0.49,0.63,0.64,0.56,0.75,0.48,0.46,0.43,0.45,0.45,1.0,0.45,0.0,0.51,0.55,0.44,0.36,0.56,0.46,0.52,0.68,0.41,0.42,0.44,0.48,0.52,0.52,0.45,0.56,0.23,0.34,0.58,0.31,0.58,0.55,0.6,0.49,0.5,0.45,0.39,0.51,0.23,0.39,0.57,0.43,0.49,0.55,0.47,0.55,0.44,0.4,0.47,0.48,0.47,0.63,0.38,0.47,0.57,0.49,0.45,0.46,0.33,0.16,0.38,0.75,0.47,0.52,0.4,0.42,0.46,0.52,0.44,0.55,0.45,0.42,0.4,0.49,0.62,0.64,0.49,0.17,0.42,0.0,0.43,0.0,0.43,0.4,0.46,0.46,0.41,0.48,,0.51,0.52,0.52,0.6,0.5,0.33,0.47,0.46,0.54,0.47,0.48,0.5,0.52,0.41,0.5,0.46,0.57,0.49,0.46,0.54,0.48,0.51,0.53
stetho,0.39,0.63,0.55,0.53,0.42,0.0,0.49,0.34,0.56,0.53,0.44,0.39,0.47,0.5,0.7,0.51,0.52,0.37,0.54,0.51,0.52,0.51,0.54,0.28,0.45,0.69,0.61,0.47,0.0,0.54,0.29,0.46,0.44,0.34,0.43,0.54,0.64,0.5,0.45,0.48,0.39,0.45,0.34,0.42,1.0,0.37,0.0,0.48,0.42,0.44,0.51,0.62,0.33,0.51,0.62,0.48,0.46,0.44,0.46,0.47,0.56,0.41,,0.59,0.42,0.56,0.28,0.76,0.54,0.59,0.46,0.53,0.51,0.38,0.53,0.23,0.34,0.54,0.58,0.5,0.5,0.49,0.56,0.38,0.49,0.38,0.48,0.47,0.5,0.38,0.29,0.6,0.46,0.39,0.5,0.5,0.42,0.53,0.75,0.51,0.49,0.39,0.36,0.45,0.38,0.53,0.49,0.52,0.37,0.48,0.44,0.58,0.6,0.29,0.55,0.44,0.0,0.48,0.0,0.43,0.33,0.52,0.48,0.36,0.48,0.43,0.49,0.44,0.63,0.4,0.46,0.47,0.43,0.46,0.61,0.53,0.39,0.42,0.46,0.43,0.49,0.53,0.46,0.47,0.38,0.49,0.42,0.47,0.44
storm,0.54,0.66,0.52,0.46,0.51,0.0,0.45,0.63,0.49,0.52,0.52,0.6,0.31,0.59,0.59,0.52,0.57,0.54,0.52,0.48,0.28,0.52,0.55,0.47,0.72,0.34,0.4,0.49,0.0,0.31,0.45,0.52,0.5,0.49,0.5,0.54,0.5,0.53,0.67,0.44,0.53,0.55,0.51,0.5,1.0,0.44,0.0,0.5,0.54,0.45,0.56,0.61,0.43,0.54,0.42,0.44,0.39,0.51,0.49,0.59,0.44,0.5,0.6,0.34,0.53,0.58,0.3,0.74,0.39,0.45,0.44,0.51,0.47,0.4,0.58,0.55,0.3,0.41,0.62,0.5,0.55,0.51,0.5,0.53,0.49,0.51,0.55,0.67,0.66,0.48,0.48,0.56,0.54,0.44,0.38,0.6,0.57,0.48,0.59,0.53,0.5,0.66,0.42,0.5,0.51,0.5,0.32,0.46,0.38,0.45,0.52,0.57,0.63,0.49,0.55,0.52,0.0,0.44,0.0,0.43,0.69,0.47,0.56,0.37,,0.57,0.47,0.48,0.57,0.63,0.45,0.48,0.43,0.45,0.56,0.48,0.51,0.51,0.42,0.46,0.58,0.44,0.47,0.53,0.63,0.45,0.42,0.54,0.53
symphony,0.55,0.7,0.45,0.5,0.5,0.0,0.49,0.72,0.58,0.52,0.56,0.62,0.48,0.64,0.59,0.48,0.58,0.56,0.55,0.53,0.4,0.51,0.5,0.55,0.57,0.49,0.41,0.48,0.0,0.37,0.36,0.56,0.54,0.44,0.52,0.63,0.64,0.62,0.7,0.52,0.52,0.53,0.51,0.5,1.0,0.53,0.0,0.51,0.5,0.43,0.62,0.59,0.41,0.55,0.66,0.56,0.38,0.54,0.49,0.53,0.59,0.51,0.57,0.58,0.54,0.6,0.3,0.66,0.52,0.46,0.44,0.54,0.52,0.44,0.58,0.45,0.33,0.47,0.57,0.5,0.56,0.52,0.56,0.52,0.45,0.53,0.56,0.54,0.66,0.48,0.44,0.56,0.51,0.51,0.27,0.54,0.57,0.5,0.74,0.51,0.52,0.55,0.5,0.56,0.51,0.48,0.35,0.45,0.44,0.52,0.5,0.55,0.57,,0.56,0.52,0.0,0.51,0.0,0.39,0.5,0.42,0.59,0.57,0.53,0.6,0.52,0.52,0.57,0.62,0.5,0.49,0.51,0.49,0.6,0.55,0.5,0.56,0.48,0.54,0.63,0.52,0.61,0.53,0.61,0.52,0.5,0.56,0.58
synfig,0.5,0.11,0.44,0.21,0.45,0.0,0.36,0.18,0.3,0.33,0.49,0.2,0.4,0.23,0.25,0.38,0.37,0.41,0.29,0.39,0.51,0.25,0.27,0.55,0.43,0.58,0.39,0.38,0.0,0.5,0.27,0.31,0.26,0.4,0.5,0.34,0.5,0.14,0.35,0.48,0.29,0.38,0.47,0.42,1.0,0.49,0.0,0.28,0.33,0.39,0.26,0.55,0.54,0.22,0.32,0.32,0.5,0.35,0.29,0.35,0.58,0.36,0.37,0.12,0.29,0.23,0.23,0.58,0.42,0.29,0.46,0.33,0.31,0.3,0.35,0.54,0.29,0.61,0.28,0.28,0.34,0.54,0.37,0.42,0.34,,0.26,0.37,0.13,0.31,0.51,0.29,0.51,0.41,0.51,0.29,0.27,0.25,0.81,0.41,0.32,0.47,0.34,0.53,0.51,0.48,0.4,0.51,0.38,0.25,0.47,0.61,0.6,0.48,0.19,0.41,0.0,0.31,0.0,0.25,0.46,0.52,0.44,0.27,0.42,0.25,0.4,0.42,0.45,0.33,0.48,0.34,0.45,0.31,0.45,0.33,0.33,0.32,0.45,0.33,0.33,0.41,0.51,0.44,0.41,0.33,0.25,0.48,0.5
testrepository,0.5,0.53,0.4,0.5,0.47,0.0,0.45,0.74,0.49,0.48,0.42,0.52,0.47,0.59,0.61,0.42,0.56,0.51,0.49,0.54,0.57,0.49,0.49,0.47,0.38,0.43,0.52,0.53,0.0,0.44,0.45,0.53,0.5,0.49,0.47,0.55,0.64,0.47,0.44,0.47,0.46,0.44,0.44,0.49,0.33,0.45,0.0,0.5,0.45,0.47,0.56,0.47,0.43,0.53,0.64,0.59,0.46,0.48,0.49,0.47,0.54,0.47,0.54,0.62,0.48,0.58,0.52,0.53,0.49,0.61,0.46,0.46,0.55,0.44,0.48,0.21,0.48,0.6,0.51,0.53,0.48,0.37,0.53,0.41,0.44,0.47,0.44,0.42,0.64,0.48,0.46,0.57,0.4,0.45,0.35,0.45,0.54,0.54,0.61,0.41,0.53,0.39,0.41,0.42,0.53,0.46,0.58,0.44,0.48,0.52,0.47,0.52,0.46,0.35,0.52,0.46,0.0,0.43,0.0,0.5,0.34,0.43,0.48,0.49,0.42,0.54,0.55,0.47,0.46,0.55,0.49,0.49,0.45,0.5,0.5,0.55,0.46,0.51,,0.41,0.58,0.49,0.42,0.47,0.5,0.42,0.48,0.46,0.44
tetris_project,0.49,0.67,0.45,0.51,0.51,0.0,0.49,0.76,0.48,0.61,0.47,0.56,0.47,0.58,0.6,0.52,0.52,0.53,0.5,0.49,0.39,0.5,0.54,0.44,0.31,0.18,0.4,0.53,0.0,0.34,0.47,0.48,0.49,0.53,0.46,0.59,0.5,0.4,0.38,0.48,0.49,0.47,0.44,0.47,0.0,0.43,0.0,0.48,0.49,0.39,0.53,0.42,0.47,0.52,0.45,0.45,0.45,0.5,0.51,0.49,0.47,0.45,0.63,0.37,0.54,0.58,0.52,0.14,0.42,0.48,0.52,0.45,0.53,0.48,0.49,0.53,0.41,,0.56,0.57,0.49,0.29,0.58,0.4,0.52,0.46,0.5,0.54,0.63,0.52,0.47,0.53,0.36,0.4,0.44,0.49,0.31,0.51,0.47,0.54,0.53,0.41,0.47,0.43,0.48,0.36,0.45,0.42,0.48,0.51,0.46,0.29,0.31,0.42,0.58,0.44,0.0,0.55,0.0,0.47,0.42,0.42,0.53,0.56,0.4,0.57,0.49,0.5,0.4,0.54,0.44,0.5,0.46,0.49,0.41,0.45,0.47,0.46,0.45,0.47,0.59,0.38,0.46,0.49,0.61,0.47,0.43,0.45,0.53
thanos,0.43,0.7,0.51,0.49,0.5,0.0,0.48,0.52,0.52,0.5,0.44,0.63,0.44,0.65,0.55,0.46,0.43,0.5,0.48,0.49,0.56,0.54,0.52,0.31,0.4,0.58,0.37,0.5,0.0,0.49,0.3,0.51,0.53,0.38,0.47,0.65,0.64,0.61,0.55,0.47,0.46,0.54,0.4,0.45,1.0,0.41,0.0,,0.52,0.48,0.52,0.5,0.41,0.51,0.7,0.43,0.47,0.46,0.49,0.47,0.54,0.48,0.53,0.64,0.55,0.56,0.27,0.55,0.56,0.63,0.5,0.43,0.46,0.36,0.48,0.2,0.3,0.58,0.4,0.53,0.54,0.48,0.5,0.38,0.5,0.41,0.5,0.48,0.66,0.37,0.31,0.45,0.5,0.44,0.5,0.44,0.52,0.54,0.74,0.46,0.54,0.39,0.46,0.46,0.48,0.52,0.53,0.55,0.42,0.47,0.43,0.57,0.61,0.33,0.45,0.47,0.0,0.48,0.0,0.65,0.38,0.48,0.48,0.35,0.48,0.55,0.47,0.46,0.58,0.53,0.47,0.52,0.43,0.43,0.52,0.4,0.46,0.52,0.48,0.53,0.65,0.45,0.44,0.47,0.35,0.52,0.58,0.44,0.46
tinker,0.37,0.72,0.55,0.48,0.49,0.0,0.46,0.5,0.6,0.53,0.45,0.58,0.5,0.57,0.53,0.5,0.49,0.48,0.51,0.43,0.5,0.52,0.53,0.31,0.44,0.62,0.48,0.51,0.0,0.58,0.3,0.58,0.49,0.38,0.47,0.61,0.64,0.58,0.58,0.48,0.42,0.56,0.38,0.51,1.0,0.4,0.0,0.52,,0.52,0.5,0.66,0.46,0.56,0.72,0.53,0.46,0.54,0.45,0.49,0.6,0.44,0.6,0.5,0.51,0.59,0.25,0.74,0.6,0.6,0.49,0.58,0.54,0.36,0.6,0.26,0.35,0.49,0.56,0.54,0.54,0.48,0.48,0.38,0.56,0.38,0.48,0.5,0.67,0.4,0.31,0.62,0.52,0.44,0.49,0.58,0.4,0.54,0.74,0.53,0.45,0.4,0.46,0.43,0.52,0.52,0.54,0.55,0.48,0.45,0.46,0.71,0.6,0.33,0.3,0.46,0.0,0.48,0.0,0.46,0.34,0.52,0.56,0.35,0.48,0.57,0.55,0.5,0.63,0.54,0.46,0.55,0.47,0.45,0.64,0.55,0.44,0.47,0.48,0.51,0.62,0.53,0.46,0.52,0.35,0.52,0.39,0.51,0.48
uCrop,0.36,0.69,0.55,0.52,0.5,0.0,0.53,0.3,0.53,0.53,0.44,0.59,0.35,0.49,0.65,0.57,0.42,0.49,0.47,0.49,0.3,0.55,0.63,0.29,0.45,0.66,0.46,0.54,0.0,0.6,0.41,0.59,0.46,0.4,0.45,,0.5,0.69,0.5,0.41,0.54,0.56,0.52,0.52,1.0,0.33,0.0,0.53,0.44,0.51,0.37,0.64,0.45,0.57,0.61,0.54,0.43,0.51,0.47,0.51,0.47,0.5,0.53,0.41,0.59,0.59,0.25,0.9,0.59,0.6,0.51,0.55,0.52,0.31,0.58,0.56,0.29,0.29,0.63,0.52,0.55,0.51,0.52,0.38,0.54,0.39,0.53,0.55,0.72,0.52,0.3,0.58,0.51,0.41,0.51,0.44,0.47,0.53,0.59,0.56,0.41,0.41,0.49,0.43,0.51,0.52,0.39,0.54,0.33,0.43,0.52,0.67,0.61,0.51,0.33,0.47,0.0,0.51,0.0,0.54,0.71,0.52,0.6,0.35,0.51,0.62,0.49,0.54,0.63,0.51,0.46,0.56,0.5,0.45,0.63,0.57,0.44,0.54,0.43,0.44,0.71,0.53,0.5,0.54,0.38,0.46,0.49,0.53,0.56
